Text;nbcaracteres;label
MOBIL EXPLORATION NORWAY INC. WELL 33/9-16 RFT RESULTS DEPTH (mRKB) | HYDSTAT. FM PRESSURE MUD (HP GAUGE) PRESSURE psia 30th-31st DEC 92 RUN 2A 1 2684.4 | 2684.4 38.881 GOOD PERMEABILITY 2685.0 | 2685.0 PLUGGING 2685.0 | 2685.0 i 38.887 GOOD PERMEABILITY 2686.4 | 2686.4 38.903 GOOD PERMEABILITY 2687.0 | 2687.0 . 38.908 GOOD PERMEABILITY 2688.0 | 2688.0 38.919 . GOOD PERMEABILITY 2689.0 | 2689.0 38.930 A GOOD PERMEABILITY 2690.0 | 2690.0 38.941 4 GOOD PERMEABILITY 2693.5 § 2693.5 38.975 \ GOOD PERMEABILITY 2698.5 | 2698.5 39.021 \ GOOD PERMEABILITY 2704.9 | 2704.9 39.077 ie GOOD PERMEABILITY 2713.0 | 2713.0 39.161 5 GOOD PERMEABILITY 2725.0 | 2725.0 39.278 \ GOOD PERMEABILITY 2730.0 | 2730.0 39.335 s GCOD PERMEABILITY 2736.0 | 2736.0 39.494 \. POOR PERMEABILITY 2747.5 | 2747.5 39.492 . GOOD PERMEABILITY 2815.5 § 2815.5 36.468 . GOOD PERMEABILITY 2817.0 | 2817.0 36.477 . GOOD PERMEABILITY 2820.5 § 2820.5 36.509 \< GOOD PERMEABILITY 2823.0 § 2823.0 36.537 fi GOOD PERMEABILITY 2830.0 § 2830.0 36.619 5 GOOD PERMEABILITY 2839.0 | 2839.0 36.687 5 GOOD PERMEABILITY 2845.0 § 2845.0 36.742 5 GOOD PERMEABILITY 2849.0 | 2849.0 36.776 . GOOD PERMEABILITY 2857.0 § 2857.0 37.236 GOOD PERMEABILITY 2863.0 | 2863.0 38.104 i GOOD PERMEABILITY 2685.0 | 2685.0 38.878 GOOD PERMEABILITY - Segregated Sample. oon oO nn & WN NY NY NY DD Bw we te we et sat on O89 O AN OO UG PF OND |= CO @ Figure 2.13 5836.3 5838.0 5837.8 5840.9 5841.6 5843.4 5846.1 5847.9 5853.9 5863.5 5875.9 5898.1 5920.2 5930.9 5943.1 5976.1 6113.3 6116.7 6123.7 6128.5 6142.4 6160.7 6173.7 6182.0 6199.1 6211.0 5833.6 5836.3 5838.0 5837.8 5840.9 5841.6 5843.4 5846.1 5847.9 5853.9 5863.5 5875.9 5898.1 5920.2 5930.9 5943.1 5976.1 6113.3 6116.7 6123.7 6128.5 6142.4 6160.7 6173.7 6182.0 6199.1 6211.0 5833.6 RUN 2A rn nertn © Ke © OD o 4 rc a NN rr o pd z re wo - o - nt = oe pod a = So N r nN N N oo N zs N 26 27 GOOD PERMEABILITY PLUGGING GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GCOD PERMEABILITY POOR PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY GOOD PERMEABILITY - Segregated Sample. oon oO nn & WN a yu = Oo 13 NNN DD Be we we ee on O O AN OO A 5639.2 5640.1 5642.4 3643.1 5644.8 5646.3 3647.9 3652.8 5659.5 5667.7 3679.9 3696.8 5705.0 5728.1 5727.8 5289.2 5290.6 5295.2 5299.3 5311.1 5321.0 5329.0 5333.9 5400.7 5526.5 5638.9 ;2623;1
29657 29716 29774 29831 29889 30005 30062 30120 30542 30570 30596 30629 30651 30708 30766 30824 30884 30918 30906 30953 30997 31054 31299 31424 31584 31806 32937 RUN 3 2470. 2475. 2480. 2485. 2490, 2500. 2505. 2510. 2546, 2548, 2550. 2553. 2555. 2560. 2565. 2570. 25.1.5. 2578. 2olds 2581. 2585. 2590. 2611. 2621, 2635) 2654 2692 25564 25577 25589 25602 25615 25639 25653 25664 250756 25764 25771 25778 25782 25794 25808 25821 25851 25859 26214 25597: 25624 25631 25652 25666 25686 25707 25721 25804 2581t 25817 25831 25831 25845 25859 25873 25900 25900 26252 HYDROSTATIC PRESSURE HP (KPAA) FORMATION PRESSURE HP (KPAA) 26168 26279 26428 26990 26231 26335 26472 27045 LETK87192028R PRESSURE 3A and 3B ;701;1
 Santos PRELIMINARY PRESSURE SURVEY Well ANDREE 4 RT: 11: Gauge Type: Quartz (HP #152918) Page: 1 Witness P.Mc Gilveray Last cirulated at : 03:30 hr, Probe/Packer Type : Standard Date : 3/01/2012 - 4/01/2012 Engineer J. ja! N.Rees / A. Gorton Note: Depths from Suite 1/Run1 FORMATION DEPTH DEPTH TEST RESULTS INTERPRETATION COMMENTS RT SUBSEA HYDRO INITIAL FINAL FORM HYDRO TEMP DID TYPE TEST RATE TYPE DEPL. FLUID TYPE MD ft BEFORE |DRAWDOWN BUILD UP PRESS AFTER MOB DID TIME CHANGE BUILD sc PSIA PSIA PSIA PSIA PSIA Deg F MDICP_ mins PSI/MIN UP File CORRELATION PASS 9250 8 2 , eee goss | 91950 | 49921 | 21146 3754.1 | 4333.2 | 2413 23 N 3.0 <1 Rapid Water pt ? Good Test 9 > 9267 4339.2 | 3635.0 3703.7 | 4338.7 | 241.7 53.0 3.0 <1 Rapid D __|Water pt ? Good Test 10 3 9355 4378.3 | 34798 39301 | 4378.6 | 242.9 74 N 3.0 <i Rapid i 4 9364 4382.3 | 3789.9 3640.2 | 4382.7 | 243.7 79.8 N 3.0 <i Rapid D 12 [CORRELATION PASS 9610 13 5 9430 4415.2 | 3609.4 3676.7 | 4415.2 | 248.0 46.4 N 3.0 <i Rapid D 14 6 9434 4417.3 _| 36245 36785 | 4417.1 | 248.0 59.9 N 2.0 <i Rapid D 15 7 9446 4422.3 | 2883.2 37774 _| 4422.1 | 2475 3.0 N 3.0 <i Good 16 8 9470 4432.4 | 3337.5 3596.1 | 4432.6 | 247.7 10.7 N 3.0 <i Rapid D 7 9 9477 4435.7 _| 3415.0 3597.0 | 4435.2 | 248.6 14.4 N 3.0 <i Good D 18 10 9541 44645 | 2296.2 3129.4 | 4464.4 | 249.0 2.9 N 3.0 <i Good 19 i 9562 4472.5 | 3030.0 3423.5 | 44719 | 250.2 66 N 3.0 <i Good 20 12 9574 4478.3 | 1660.3 3613.8 | 44775 | 251.9 13 N 5.0 <i Good 21 13 9585 4483.7 | 3081.3 3637.1 | 4482.7 | 253.3 43 N 3.0 <i Good 22 [CORRELATION PASS 9810 = ig iy 45135 | 8415 | 39495 4513.4 | 257.8 05 N 16.0 25.0 Slow Curtailed Test 24 15 9654 4516.8 | 3198.1 4493.4 | 4517.6 | 257.5 2.4 N 40 <i Rapid SC 25 Eira br CURTESC'RIS 9650 4517.5 | 1438.9 4061.6 | 45155 | 258.0 07 N 18.0 <1 Slow Good after 18 mins 26 i geaq | 95920 | 4531.0 4531.7 | 257.9 No Seal (Twice) 27 96845 | 95635 | 4532.0 4531.7 | _ 258.2 No Seal 28 ay oar | 99960 | 4577.3 4577.8 | 258.7 No Seal (Twice) 29 0452.9 | 4484.3 528.1 2470.9 4484.6 256.2 0.9 N 5.0 251.0 Slow Tight pot sorrelatescanic be 30 ‘Test tool - OK 9573.9 9667.0 | 45789 | 6031 | 4552.8 4579.7 | 257.5 0.4 N 17.0 6.0 Slow sc a 31 Re-try 9787 [CORRELATION PASS 32 18 9027.0 | 46964 | 3361 | 12778 4698.5 | 2655 13 N 16.0 37.0 V.Slow_|_Tight 33 19 9966.0 | 47149 | 235.7 | 18408 4716.4 | 266.1 07 N 15.0 82.0 V.Slow | _Tight 34 20 _|TIRRAWARRA SST pt 10126 | 1005.0 | 47330 | 5208 | 17262 4734.3 | 267.9 03 N 15.0 61.0 V.Slow | _Tight 35 21 |Patchawarra Fm 9989 | 9868.0 | 4673.2 4673.4 | 267.4 No Seal 36 Re-try 9989 9088.5 | 98675 | 4672.9 4673.5 | 267.2 No Seal 37 9854.0 | 4666.5 4666.1 | 266.9 a 38 22 9975 Re-try 9975 pt gorss | 98545 | 46672 | 2872.4 4654.7 | 4665.7 | 266.4 08 N 17.0 <1 Good sc |Slowto stabilize 39 4698.5 4716.4 4734.3 4673.4 4673.5 4666.1 4665.7 4696.4 4714.9 4733.0 4673.2 4672.9 4666.5 4667.2 265.5 266.1 267.9 267.4 267.2 266.9 Re-try 9975 pt 1840.8 1726.2 Well Witness Engineer ;2973;1
RFT RESULTS WELL: 6407/7- RUN NO. 2A, 2B and 2C Run/ Depth IHP FP FHP Permeability/ Test no. (mRKB) (psia) . (psia) (psia) Remarks 2A/1 2698.5 5688.1 5251.3 5686.0 Excellent 2 2701.0 5691.4 5251.9 5691.0 Excellent 3 2706.5 5702.6 5343.7 5702.0 Poor 4 2711.0 5712.7 5257.8 5790.0 Excellent 5 2720.5 5732.6 2574.2 9732.5 Mod.—fair 6 2725.9 5743.9 5284.3 5743.6 Good 7 2729.0 5750.3 5292.1 5750.0 Good 8 2772.0 5939.8 5558.4 5840.0 Excellent 9 2780.0 5857.4 5565.1 5857.3 Excellent 10 2790.5 5879.7 5581.1 5879.0 Excellent 11 2803.5 5908.3 5585.9 5907.8 Excellent 4 2810.0 5921.2 5589.3 5921.0 Excellent 13 2815.0 5930.9 5593.2 5930.7 Excellent 14 2829.0 5960.6 5606.3 5960.0 » Excellent 15 2943.0 5990.4 5620.0 5990.4 Excellent 16 2847.5 5999.4 5623.2 5999.0 Excellent 17 2864.5 6035.0 5638.9 6033.9 Good 18 2872.0 6050.5 5646.9 6050.7 Good 19 2884.0 6054.0 5700.0 6077.0 Low 2B/1 2701.5 -9999.0 5253.2 —9$999.0 Excellent 2 2843.0 5998.5 5620.4 5997.8 Very good 3 2896.1 6120.6 5631.6 6118.6 Moderate 4 2907.0 6141.4 5649.5 6138.7 Moderate 5 2915.0 -—9999.0 5657.1 ~9999.0 Moderate 6 2925.0 6182.0 5667.4 6174.0 Moderate 2C/1 2816.2 5656.0 5595.2 5933.0 Excellent '2 2925.0 6153.0 5664.5 6145.0 Moderate 3 2987.5 6287.0 5885.0 6290.0 Low 4 3093.0 6511.0 —9999.0 6516.3 Low Segrated sample at 2701.9m — Results from drainage on rig floor ZY, gal chamber : 73.9 scf gas (91% C1,6.1% C2,2.5% C3) 1.85 | condensate 0.9 | filtrate 1 gal chamber : Sent onshore for PVT—analysis Note: aah 9999.0 indicates missing data (tight formation or to failure). Written: R.Hope Checked: K.O.Hager Date: 31.07.87 EGHYDRO 54. 257 57: 12.8: 2.9: 55! 56: 58° 58! 58: 59, BOF 162 6 2. 63 1641 7 7 0: 7 3K 7S: 7 4. 7 5 B4 185 187 90 192 1931 196i 1991 199: 03. 051 7 19.3! B85" 187! 90! 192 19 3 196i 199 19 9! 103: 105! SOS. 6407, or tool Lt ;1818;1
STATOIL Malt dyp (m MD BD) 3291.0 Ikke forsegling 3290.5 ® 3291.5 God perm. 3297.0 Ikke forsegling 3297.5 God perm. 3305.0 Ikke forsegling 3304.5 . 3305.5 . 3330.0 Tett formasjon 3330.5 Ikke forsegling 3349.0 " 3349.5 God perm. 3352.5 Ikke forsegling 3353.0 . 3373.0 a 3372.5 ® 3399.3 . 3409.0 God perm. 3424.0 7 3449.0 . 3455.0 Ikke forsegling 3455.5 7 3486.0 3486.5 3485.5 3504.0 3505.0 3507.5 459.96 God perm. 3281.5 450.08 God perm. 3291.5 450.28 ” 3305.0 450.51 . 3330.0 Tett fornmasjon 3330.5 . 3349.5 452.67 God perm. 3373.0 (454.78) Supercharged 3399.3 Ikke forsegling 3455.5 457.61 God perm. 3486.0 459.04 " 3512:5 460.38 7 3541.5 461.99 3555.0 463.27 Middels perm. 3564.0 463.81 . 3580.0 464.75 Lav perm. 3596.0 465.30 God perm. 3609.0 465.91 . 3614.2 466.18 . 3631.0 (473.5) Supercharged 3641.0 468.77 Middels perm. 3658.5 470.01 " 3630.5 473.75 * Lav perm. 3517.0 460.46 * God perm. 3512.5 460.26 * : 3501.0 459.78 ° Lav perm. 3641.0 468.74 Provetaking Tabell 3.1 FMT-data fra 34/10-33C Tae ER ee RR Sa ge! Rg Se ee ee SS SE ee EN Os SS a ee ie ER Ae ces SE SS IG aS SSREES SANS UNA GSeie BEAN Soe 3231.5 3236.2 3261.3 3276.0 3319.9 3330.5 3348.1 3388.9 3223.7 3231.5 3241.7 3261.3 3261.6 3276.1 3293.6 3313.0 3352.6 3374.0 3392.4 3412.5 3422.0 3428.3 3439.4 3450.6 3459.0 3463.4 3475.3 3482.4 3494.9 3474.9 3395.5 3392.4 3384.4 3482.4 450.19 450.32 452.51 455.32 455.71 457.34 459.96 450.08 450.28 450.51 452.67 (454.78) 457.61 459.04 460.38 461.99 463.27 463.81 464.75 465.30 465.91 466.18 (473.5) 468.77 470.01 473.75 * 460.46 * 460.26 ° 459.78 ° 468.74 497.18 497.53 501.95 503.74 $10.95 512.55 515.50 521.31 498.51 499.66 $01.24 504.70 504.63 506.74 509.71 $12.11 $18.91 522.24 525.23 528.33 529.61 530.43 531.98 $33.59 534.78 535.29 537.07 537.91 539.83 $35.52 521.02 520.43 519.24 Ikke forsegling God perm. Ikke forsegling God perm. Ikke forsegling Tett formasjon Ikke forsegling God perm. Ikke forsegling God perm. Ikke forsegling God perm. God perm. Tett fornmasjon God perm. Supercharged Ikke forsegling God perm. Middels perm. Lav perm. God perm. Supercharged Middels perm. Lav perm. God perm. Lav perm. Provetaking 1A 1B Ikke forsegling God perm. Ikke forsegling God perm. Ikke forsegling Tett formasjon Ikke forsegling God perm. Ikke forsegling 521.31 498.51 499.66 501.24 504.70 504.63 506.74 509.71 $12.11 $18.91 522.24 525.23 528.33 529.61 530.43 531.98 $33.59 534.78 535.29 537.07 537.91 539.83 $35.52 521.02 520.43 519.24 God perm. God perm. Tett fornmasjon God perm. Supercharged Ikke forsegling God perm. 297 297. 305 304. 305. 330. 330 349. 349. 352 353 373 372 399 409 424 449 455 455. 486 486 485 504 505 507 281 291 305 330 330 349 373 399 455 486 512 541 555 564 580 596 609 614 631 5641 658 5630 517 3512 501 AV God perm. Ikke forsegling ;2776;1
Tight Tight Very Tight Tight Very Tight No Seal No Seal No Seal No Seal Very Tight No Seal Very Tight Dry Test Dry Test No Seal No Seal Dry Test No Seal No Seal No Seal No Seal No Seal No Seal Very Tight/ or No Seal Depth TVDSS (m) 3009.5 3036.5 3056.5 3074.5 3216.5 3231.5 3236.0 3241.0 3251.0 3261.0 3426.5 3531.5 3530.5 3613.5 3787.5 3900.5 3932.5 4113.5 4166.5 4173.5 4174.5 4198.5 4222.5 4328.5 Hydro- static (psig) 7786 7863 7918 7969 8325 8366 8380 8394 8421 8448 8836 9094 9093 9304 9724 9997 10070 10500 10634 10650 10655 10720 10782 11043 Form- ation (psig) 7060 7100 7047 7350 FMT Results Remarks 05 07 21 23 23 24 25 26 42 53 153 61 378 390 i} 111 ;660;1
STATISTICS Interval, m RKB: Total thickness, m: Net pay, Mm: Net sand, m: Av. porosity, net pay %: Av. water saturation, net H net pay/H gross sand: H net sand/H gross sand: H net pay/H net sand: RESULTS FROM FMT L Log run no. 1 Depth Pressure (mRKB) Dresser (kpa) Flopetrol 82818 15906 15972 16062 16236 16437 16382 16525 15908 15974 16065 16240 16441 16383 16529 1570-1620 50.0 0.0 50.0 24.8 (net sand) 100.0 (net sand) 0.00 1.00 0.00 16379 15724 15530 15620 15841 15710 15758 15841 15930 16110 16310 16261 16413 1462 1475 1468.5 1485 1492 1507 1520 1534 1543.5 1568 1571 1571.5 1578.5 1435-1460 25.5 17.25 25.25 21.2 z 62.2 0.68 0.99 0.68 1460.5-1570 109.5 107.5 109.0 29.7 17.3 LOGGING ;690;1
Seal failure Seal failure Tight/aborted Tight/aborted Tight/aborted Seal failure Tight/aborted Poor permeability Tight/aborted Poor permeability Seal failure Seal failure Poor permeability Tight/aborted Tight/aborted Poor permeability Tight/aborted Tight/aborted Tight/aborted FINAL WELL REPORT 2/8-14 SECTION 4 - LOGGING 4.3.1 FMT Results Run 1A Depth Hydrostatic Pressure (m) (psi) 2615.0 6972.70 2640.2 7046.10 2658.2 7093.00 2655.0 7079.30 2672.9 7125.80 2672.3 7123.30 2690.5 7173.80 2681.0 7146.20 2615.9 6976.30 2629.7 7017.00 Hydrostatic Pressure (psi) 8545.00 8542.00 8535.00 8605.00 8594.00 8685.00 8687.00 8737.00 8738.00 8754.00 8788.00 8785.00 8794.00 8821.00 8815.00 8887.00 8920.00 8919.00 8915.00 Light/aborted Tight /aborted Tight /aborted Seal failure Tight /aborted Poor permeabi Tight/aborted Poor permeabi Seal failure Seal failure Poor permeabi Tight/aborted Tight/aborted Poor permeabi Tight /aborted Tight/aborted Tight /aborted Run 2A Depth (2) 3101.1 3101.8 3101.5 3122.2 3122.6 3152.2 3152.4 3170.6 3173.7 3179.2 3191.3 3191.5 3191.7 3213.3 3213.5 3224.8 3236.5 3237.7 3239.0 Permeable Tight/aborted No Seal Tight/aborted No Seal No Seal No Seal No Seal Permeable Tight/aborted 5828.00 6587.00 6490.00 7242.00 8648.00 7372.00 8623.00 8632.00 4597.00 4598.00 8714.00 3502.00 5740.00 3912.00 Final Flowing Pressure (psi) 5990.60 5000.00 0.00 6652.00 0.00 0.00 0.00 0.00 5991.40 6118.30 Hydrostatic Pressure (psi) 6972.70 7046.10 7093.00 7079.30 7125.80 7123.30 7173.80 7146.20 6976.30 7017.00 Final Flowing Pressure (psi) ;1547;1
A plot of the Brent formation pressure points can be seen in Fig.4.18. The FMT’s used for this plot are numbers 1,3,4,5. FMT’s number 16 and 17 were taken after the Statfjord points and may suffer slightly from lack of temperature stabilisation or hysteresis. The plot gives a water gradient of .097 bar/m. A.15 bar separation exists in the aquifer between the 25/5-2 and 25/2-14 wells. This demonstrates that the C- compartment is pressure separated from Fry in the Brent sequence. The formation pressure FMT’s from the Statfjord are plotted in Fig.4.19. FMT numbers 7,8,10,11,14 were used in this plot. The other points are apparently supercharged. These points show a water gradient for the Statfjord of .094 bar/m. The Statfjord in well 25/2-14 is obviously not in pressure communication with the Statfjord in well 25/5-1, The final FMT plot (Fig.4.20) for this well shows all the formation points taken in this well. The water bearing Brent formation is not in communication with the water bearing Statfjord formation in the well, however, it can not be excluded that there is pressure communication between the Brent sequence of 25/2-14 and the Statfjord formation below Froy. A table listing all primary information is given below: Mud FMT DEPTH DEPTH ZONE nmb (mRKB) (mMSL) (bar a) 1 3137.0 3112.9 Upper 392.85 2 3175.0 3150.9 Upper 397.41 3 3179.4 31553 Upper 397.83 4 3195.0 3170.9 Middle 400.18 5 3214.0 3189.9 Middle 402.12 6 3304.5 3280.6 Lower 413.34 7 3530.5 3504.3 Statfjord 440.26 8 3545.5 3518.7 Statfjord 442.55 9 3562.5 3535.5 Statfjord 444.31 10 3574.0 3547.0 Statfjord 445.31 11 3567.0 3540.0 Statfjord 443.66 12 3540.0 3513.4 Statfjord 440.55 13 3522.5 3496.5 Statfjord 438.38 14 3530.5 3504.3 Statfjord 439.66 15 3525.6 3499.5 Statfjord 438.64 16 3179.4 3155.3 Upper 397.22 17 =. 3138.1 3114.0 Upper 392.26 Flowing pressure (bar a) 255.17 165.52 318.97 318.62 321.38 248.28 361.38 367.59 357.24 303.45 296.55 262.07 364.83 222.07 320.00 Formation pressure (bar a) 370.15 371.39 375.36 374.11 373.47 372.02 369.98 370.07 321.21 317.57 Upper Upper Upper Middle Middle Lower Statfjord Statfjord Statfjord Statfjord Statfjord Statfjord Statfjord Statfjord Statfjord Upper Upper (mRKB) 3137.0 3175.0 3179.4 3195.0 3214.0 3304.5 3530.5 3545.5 3562.5 3574.0 3567.0 3540.0 3522.5 3530.5 3525.6 3179.4 3138.1 Supercharged Supercharged Tight Repeat of #3 pressure COMMENTS @ R2291-mt Supercharged ;2411;1
RFT PRESSURE SURVEY RESULTS WELL 30/6-22 HYDROSTATIC HYDROSTATIC FORM. PRESS. FORM. PRESS. INI.(HP, psia) FIN. (HP, psia) (HP, psia) (SG, psia) 2881.0 | 2852.7 5190.9 5190.4 4691.4 Poor Perm 2885.5 | 2857.2 5198.0 $204.3 Tight 2886.0 | 2857.7 5200.1 5205.3 Tight 2902.5 | 2874.2 5228.7 5228.8 4691.0 4691.5 Poor Perm 2910.0 | 2881.7 5216.9 5244.0 Sample 2910.0 | 2881.7 5243.4 5243.1 4683.9 4684.3 Good Perm 2912.0 | 2883.7 5245.8 5245.7 4685.0 4686.1 Good Perm 2918.0 | 2689.7 5257.6 5257.5 4715.0 Supercharge 2918.2 | 2889.9 5256.7 5257.5 Seal Failur 2918.2 | 2889.9 5256.5 5257.4 4715.1 Seal Failur 2919.0 | 2890.7 5259.3 5263.5 Tight 2921.0 | 2892.7 5262.6 5264.8 Tight 2921.1 | 2892.8 5262.1 5262.4 4732.8 4732.0 Tight 2925.0 | 2896.7 5269.5 5269.2 4701.1 4700.7 Poor Perm 2930.0 | 2901.7 5277.8 5278.1 4702.9 4703.0 Good Perm 2935.0 | 2906.7 5285.8 5286.4 4709.4 4709.6 Good Perm 2939.0 | 2910.7 5293.6 5293.6 4732.5 4731.5 Supercharge 2939.1 | 2910.8 5293.2 5294.0 4732.0 4730.9 Supercharge. 2943.7 | 2915.4 5302.2 5303.1 4726.8 4726.6 Mod Perm 2943.8 | 2915.5 5302.4 5306.9 Tight 2945.7 | 2917.4 5306.3 5306.7 4736.0 4735.0 Mod Perm 2945.8 | 2917.5 5306.8 5310.6 Tight 2946.0 | 2917.7 5306.1 5307.2 4736.0 4735.0 Mod Perm 2948.8 | 2920.5 5312.4 $312.9 4736.1 4735.4 Mod Perm 2950.8 | 2922.5 5315.1 5316.3 4733.5 4732.6 Mod Perm 2951.0 | 2922.7 5316.1 5316.5 4733.7 4733.3 Mod Perm 2957.2 | 2928.9 5328.4 5329.2 4740.6 4739.3 Mod Perm 2962.5 | 2934.2 5336.6 5337.4 4746.6 4745.9 Good Perm 2967.5 | 2939.2 5345.9 "$346.7 4753.1 4752.8 Good Perm 2974.0 | 2945.7 5358.0 5357.8 4761.7 4761.7 Good Perm 2980.0 | 2951.7 5368.7 5368.6 4770.3 4770.1 Good Perm 2992.1 | 2963.8 5391.0 5390.3 4787.6 4787.1 Good Perm 3122.2 | 3093.7 5619.4 5618.9 Seal Failur- 3122.3 | 3093.8 5616.4 5617.1 Seal Failur 3122.5 | 3094.0 5616.2 5620.0 Supercharge: 3122.7 3094.2 5615.9 5617.9 Supercharge: 3124.0 | 3095.5 5618.0 5622.2 Tight 3124.8 | 3096.3 5624.5 5623.8 Tight 3127.5 | 3099.0 5624.0 5631.4 Tight 3127.5 | 3099.0 5625.4 5629.2 Tight 3271.2 | 3242.7 5873.8 5873.8 Good Perm 3271.2 | 3242.7 5889.6 5880.7 Not Stable 3291.0 3262.5 5931.9 5922.0 Supercharge: 3302.5 | 3274.0 5929.5 5929.9 Seal Failur- 3306.5 | 3278.0 6963.7 5953.1 5117.1 Fair Perm 3309.5 | 3281.0 5943.4 5944.1 seal Failur 3310.0 | 3281.5 5943.2 5945.1 Seal Failur- 3310.0 | 3281.5 5952.5 5949.5 Seal Failur- CO” spo047amas fe 3 9 3 1.5 ).2 1.4 5.7 .8 1.6 ).3 re) 1 0 9 2.2 3.8 L.4 2 3.8 .7 2.0 .9 3.1 1.1 5.1 9.5 4691.4 4691.0 4683.9 4685.0 4715.1 4732.8 4701.1 4702.9 4709.4 4732.5 4732.0 4726.8 4736.0 4736.0 4736.1 4733.5 4733.7 4740.6 4746.6 4753.1 4761.7 4770.3 4787.6 5008.0 5058.3 4693.0 4691.5 4684.3 4686.1 4715.0 4715.1 4732.0 4700.7 4703.0 4709.6 4731.5 4730.9 4726.6 4735.0 4735.0 4735.4 4732.6 4733.3 4739.3 4745.9 4752.8 4761.7 4770.1 4787.1 5003.5 5005.0 5059.9 5059.9 5117.1 wowwnonmmnmnnwwnwmnwHwHwnwn YH ew ee DE EEE EEE DEDEDE EEE EE onortramaweanrs ann onan av eawonrnnwonnnmnaoawn Nt ore gd st 7 Se Sc eS | Perm it it. | Perm le | Perm | Perm rcharge . Failur . Failur +4 t 1 - Perm 1 Perm i Perm srcharge archarge Perm rt Failur. Failur recharge: ercharge ht ht ht ht d Perm Stable ercharge: 1 Failur cv Perm 1 Failur 1 Failur- 1 Failur 1732.0 1700.7 1703.0 1709.6 4731.5 4730.9 4726 .€ 4735.0 4735 .¢ 4735.! 4732.¢ 4733 4739 4745.5 4752.1 4761. 4770.: 4787.: 5003.. 5005. aN AN wo 8 ww a Vow — ue cee ge Sey 6 eon sn a aw WP Ww = Se by oe te ee ae Ole ed a OE 2. 2 B. 4 9. 3 1 3. 3 3 4. 4 5. 6. 9 9 2 2 2 5059. 5059.) ;3499;1
